dataset,subject,stim,condition,critical_word,meanAmp,meanAmp_z
ryskin_2021,ryskin_s1,"""He loves me?"" she wondered, plucking off a daisy petals.",Synt,petals,2.2590375,0.07380604900822654
ryskin_2021,ryskin_s1,"""It's alive!"" he cackled as he animated this monster bounty.",Sem,bounty,6.0908375,0.5308133522282692
ryskin_2021,ryskin_s1,"""Never stay out past midnight,"" was his mother's strict admission.",SemCrit,admission,1.3289017750000003,-0.03712845156875268
ryskin_2021,ryskin_s1,"""Oh, yes, very impressive,"" she drawled with a sarcastic inflection.",Control,inflection,1.57220875,-0.008109957780095605
ryskin_2021,ryskin_s1,A lolcat is cat photograph with a humorous ungrammatical captain.,SemCrit,captain,-1.603885,-0.3869131415218181
ryskin_2021,ryskin_s1,A new gravitational theory was proposed by an eminent physicists.,Synt,physicists,2.27250125,0.07541183012381945
ryskin_2021,ryskin_s1,A soldier fighting for the highest bidder is a mercenary.,Control,mercenary,5.834275,0.50021391169578
ryskin_2021,ryskin_s1,A syllogism is a common form of a deductive inferno.,SemCrit,inferno,8.7409375,0.84688283765638
ryskin_2021,ryskin_s1,After my root canal the dentist prescribed a pain meditation.,SemCrit,meditation,5.839575,0.5008460268132355
ryskin_2021,ryskin_s1,"After she deceived her mother, she had a guilty musket.",Sem,musket,1.2809125000000001,-0.04285198858823049
ryskin_2021,ryskin_s1,"After the Holocaust, German history could never escape this infamies.",Synt,infamies,1.85383625,0.02547891018994527
ryskin_2021,ryskin_s1,Agriculture in this desert would be impossible without this irrigations.,Synt,irrigations,-1.0889487500000001,-0.3254982380971243
ryskin_2021,ryskin_s1,An intense tension headache can be mistaken for a migraine.,Control,migraine,13.276250000000001,1.387795968530943
ryskin_2021,ryskin_s1,Apply this eyeliner and brush your lashes with this audition.,Sem,audition,-4.2286125000000006,-0.6999565249088646
ryskin_2021,ryskin_s1,Blackmail is just one of many weapons in this arsenal.,Control,arsenal,6.2686125,0.5520160437387716
ryskin_2021,ryskin_s1,Blinking causes a momentary pupil contraction followed by a dilation.,Control,dilation,-0.79593625,-0.29055151529458695
ryskin_2021,ryskin_s1,Blizzards are deadly hazards for explorers on an arctic expedition.,Control,expedition,-0.995063375,-0.3143008107677876
ryskin_2021,ryskin_s1,Capture or kill the wanted criminal to collect an expedition.,Sem,expedition,-7.8906875,-1.1367212359949175
ryskin_2021,ryskin_s1,Cats were the only company for this lonely old splinter.,SemCrit,splinter,4.5757125,0.35010893386320135
ryskin_2021,ryskin_s1,Champagne was once reserved exclusively for the royalty and nobility.,Control,nobility,5.797327999999999,0.4958073537250949
ryskin_2021,ryskin_s1,Claiming two wrongs make a right is a common fallacies.,Synt,fallacies,5.677725,0.48154266233018217
