dataset,subject,stim,condition,critical_word,meanAmp,meanAmp_z
michaelov_2024,michaelov_CP01,"After a week, they gave up on the missing hikers and called off the boss",Implaus,boss,-0.7000000000000001,-0.20700850313590874
michaelov_2024,michaelov_CP01,"After swimming the English Channel, Bonita was cold and completely blue",Unrel,blue,6.765555555555555,0.8764076841539327
michaelov_2024,michaelov_CP01,"After the divorce, she had to move out of the expensive house to an apartment that was ugly",Unrel,ugly,13.557777777777778,1.8621084064195674
michaelov_2024,michaelov_CP01,"After the flood, the house smelled of mildew and everything in it was ruined",BC,ruined,6.23888888888889,0.7999767758676722
michaelov_2024,michaelov_CP01,"After the most recent price increase, the small business owner decided to order his office supplies from another gown",Implaus,gown,2.457777777777778,0.2512544532977465
michaelov_2024,michaelov_CP01,"All of armed services will admit women, but females are barred from combat",BC,combat,0.8466666666666667,0.01744682246424891
michaelov_2024,michaelov_CP01,"Alone in the canyon, he was so spooked he was scared by his own horse",Unrel,horse,7.183333333333334,0.9370364215286879
michaelov_2024,michaelov_CP01,Andrew was glad that the meeting was very short,BC,short,8.074444444444445,1.0663562283759054
michaelov_2024,michaelov_CP01,At night they often took a short walk,BC,walk,-3.8444444444444446,-0.6633364998661143
michaelov_2024,michaelov_CP01,"At that time, the boys lived down by the river in a shack",Rel,shack,-8.555555555555555,-1.347022261751652
michaelov_2024,michaelov_CP01,"Barry has considered proposing to his girlfriend, but he wants to wait until he is ready",BC,ready,1.842222222222222,0.16192381365515496
michaelov_2024,michaelov_CP01,Betsy could never tell a joke,Unrel,joke,2.9755555555555557,0.32639538844837396
michaelov_2024,michaelov_CP01,Dennis the Menance was known for making jokes,Unrel,jokes,5.17,0.644857506307793
michaelov_2024,michaelov_CP01,"Down in the basement, Steve and Robert were playing music",Unrel,music,13.655555555555555,1.8762981109115313
michaelov_2024,michaelov_CP01,"During the summer, the children hung out at the theatre",Unrel,theatre,5.802222222222222,0.7366068455796966
michaelov_2024,michaelov_CP01,Eva turned down the heat and left the sauce on the stove to state,Implaus,state,-2.1533333333333333,-0.4179191108119189
michaelov_2024,michaelov_CP01,"Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were young",BC,young,-1.6155555555555554,-0.339875736106117
michaelov_2024,michaelov_CP01,Every spring they held the annual ball,BC,ball,-0.8733333333333334,-0.232162979280754
michaelov_2024,michaelov_CP01,Everyone on the scene gathered around to look at the temper,Implaus,temper,4.802222222222222,0.591484867820974
michaelov_2024,michaelov_CP01,Five ships did not survive the tsunami,Rel,tsunami,18.051111111111112,2.5141898264820943
