dataset,stim_id,stim,stim_lower,critical_word
frank_2015,1140,I cannot tell you more,i cannot tell you more,cannot
frank_2015,1141,I cannot tell you more,i cannot tell you more,tell
frank_2015,1142,I cannot tell you more,i cannot tell you more,you
frank_2015,1143,I cannot tell you more,i cannot tell you more,more
frank_2015,1144,Helen ran to the toilet,helen ran to the toilet,ran
frank_2015,1145,Helen ran to the toilet,helen ran to the toilet,the
frank_2015,1146,Helen ran to the toilet,helen ran to the toilet,toilet
frank_2015,1147,Helen ran to the toilet,helen ran to the toilet,to
frank_2015,1148,He uses his belt on you,he uses his belt on you,uses
frank_2015,1149,He uses his belt on you,he uses his belt on you,his
frank_2015,1150,He uses his belt on you,he uses his belt on you,belt
frank_2015,1151,He uses his belt on you,he uses his belt on you,on
frank_2015,1152,He uses his belt on you,he uses his belt on you,you
frank_2015,1153,I dont want to hear it,i dont want to hear it,don't
frank_2015,1154,I dont want to hear it,i dont want to hear it,want
frank_2015,1155,I dont want to hear it,i dont want to hear it,to
frank_2015,1156,I dont want to hear it,i dont want to hear it,hear
frank_2015,1157,I dont want to hear it,i dont want to hear it,it
frank_2015,1158,This mans hair is black,this mans hair is black,man's
frank_2015,1159,This mans hair is black,this mans hair is black,hair
frank_2015,1160,This mans hair is black,this mans hair is black,is
frank_2015,1161,This mans hair is black,this mans hair is black,black
frank_2015,1162,Turn your hearing aid up,turn your hearing aid up,your
frank_2015,1163,Turn your hearing aid up,turn your hearing aid up,hearing
frank_2015,1164,Turn your hearing aid up,turn your hearing aid up,aid
frank_2015,1165,Turn your hearing aid up,turn your hearing aid up,up
frank_2015,1166,Roger smiled and sat down,roger smiled and sat down,smiled
frank_2015,1167,Roger smiled and sat down,roger smiled and sat down,sat
frank_2015,1168,Roger smiled and sat down,roger smiled and sat down,down
frank_2015,1169,Roger smiled and sat down,roger smiled and sat down,and
frank_2015,1170,A horse has thrown a shoe,a horse has thrown a shoe,horse
frank_2015,1171,A horse has thrown a shoe,a horse has thrown a shoe,has
frank_2015,1172,A horse has thrown a shoe,a horse has thrown a shoe,thrown
frank_2015,1173,A horse has thrown a shoe,a horse has thrown a shoe,a
frank_2015,1174,A horse has thrown a shoe,a horse has thrown a shoe,shoe
frank_2015,1175,I knew I heard your voice,i knew i heard your voice,knew
frank_2015,1176,I knew I heard your voice,i knew i heard your voice,I
frank_2015,1177,I knew I heard your voice,i knew i heard your voice,heard
frank_2015,1178,I knew I heard your voice,i knew i heard your voice,your
frank_2015,1179,I knew I heard your voice,i knew i heard your voice,voice
frank_2015,1180,He stayed against the wall,he stayed against the wall,against
frank_2015,1181,He stayed against the wall,he stayed against the wall,the
frank_2015,1182,He stayed against the wall,he stayed against the wall,wall
frank_2015,1183,He stayed against the wall,he stayed against the wall,stayed
frank_2015,1184,A tube train took his legs,a tube train took his legs,tube
frank_2015,1185,A tube train took his legs,a tube train took his legs,train
frank_2015,1186,A tube train took his legs,a tube train took his legs,took
frank_2015,1187,A tube train took his legs,a tube train took his legs,his
frank_2015,1188,A tube train took his legs,a tube train took his legs,legs
frank_2015,1189,Jack walked up to the door,jack walked up to the door,walked
frank_2015,1190,Jack walked up to the door,jack walked up to the door,up
frank_2015,1191,Jack walked up to the door,jack walked up to the door,to
frank_2015,1192,Jack walked up to the door,jack walked up to the door,the
frank_2015,1193,Jack walked up to the door,jack walked up to the door,door
frank_2015,1194,Billy wrote on the envelope,billy wrote on the envelope,wrote
frank_2015,1195,Billy wrote on the envelope,billy wrote on the envelope,on
frank_2015,1196,Billy wrote on the envelope,billy wrote on the envelope,the
frank_2015,1197,Billy wrote on the envelope,billy wrote on the envelope,envelope
frank_2015,1198,He called over his shoulder,he called over his shoulder,called
frank_2015,1199,He called over his shoulder,he called over his shoulder,over
frank_2015,1200,He called over his shoulder,he called over his shoulder,his
frank_2015,1201,He called over his shoulder,he called over his shoulder,shoulder
frank_2015,1202,Youll demand nothing of me,youll demand nothing of me,demand
frank_2015,1203,Youll demand nothing of me,youll demand nothing of me,nothing
frank_2015,1204,Youll demand nothing of me,youll demand nothing of me,of
frank_2015,1205,Youll demand nothing of me,youll demand nothing of me,me
frank_2015,1206,Michael gave Adam two pounds,michael gave adam two pounds,gave
frank_2015,1207,Michael gave Adam two pounds,michael gave adam two pounds,Adam
frank_2015,1208,Michael gave Adam two pounds,michael gave adam two pounds,two
frank_2015,1209,Michael gave Adam two pounds,michael gave adam two pounds,pounds
frank_2015,1210,Things were looking up again,things were looking up again,were
frank_2015,1211,Things were looking up again,things were looking up again,looking
frank_2015,1212,Things were looking up again,things were looking up again,up
frank_2015,1213,Things were looking up again,things were looking up again,again
frank_2015,1214,I wouldnt want to miss this,i wouldnt want to miss this,wouldn't
frank_2015,1215,I wouldnt want to miss this,i wouldnt want to miss this,want
frank_2015,1216,I wouldnt want to miss this,i wouldnt want to miss this,to
frank_2015,1217,I wouldnt want to miss this,i wouldnt want to miss this,miss
frank_2015,1218,I wouldnt want to miss this,i wouldnt want to miss this,this
frank_2015,1219,He put the fork on the table,he put the fork on the table,put
frank_2015,1220,He put the fork on the table,he put the fork on the table,the
frank_2015,1221,He put the fork on the table,he put the fork on the table,fork
frank_2015,1222,He put the fork on the table,he put the fork on the table,on
frank_2015,1223,He put the fork on the table,he put the fork on the table,table
frank_2015,1224,Anne lost control and laughed,anne lost control and laughed,lost
